 INFO  Accepting connections at http://localhost:4100
 HTTP  15.04.2026 23:26:01 192.168.2.1 GET /
 HTTP  15.04.2026 23:26:01 192.168.2.1 Returned 200 in 14 ms
 HTTP  15.04.2026 23:26:01 192.168.2.1 GET /assets/index-CtULI2Tr.js
 HTTP  15.04.2026 23:26:01 192.168.2.1 GET /assets/index-Dayb22TA.css
 HTTP  15.04.2026 23:26:01 192.168.2.1 Returned 200 in 3 ms
 HTTP  15.04.2026 23:26:01 192.168.2.1 Returned 200 in 5 ms
 HTTP  15.04.2026 23:26:05 127.0.0.1 GET /bobr
 HTTP  15.04.2026 23:26:05 127.0.0.1 Returned 200 in 1 ms
 HTTP  15.04.2026 23:26:08 192.168.2.1 GET /assets/bobr-DEePSR1h.jpg
 HTTP  15.04.2026 23:26:08 192.168.2.1 Returned 200 in 2 ms
 HTTP  15.04.2026 23:27:28 192.168.2.1 GET /assets/bobr-DEePSR1h.jpg
 HTTP  15.04.2026 23:27:28 192.168.2.1 Returned 304 in 1 ms
 HTTP  15.04.2026 23:27:49 192.168.2.1 GET /
 HTTP  15.04.2026 23:27:49 192.168.2.1 Returned 304 in 1 ms
 HTTP  15.04.2026 23:27:49 192.168.2.1 GET /assets/index-CtULI2Tr.js
 HTTP  15.04.2026 23:27:49 192.168.2.1 GET /assets/index-Dayb22TA.css
 HTTP  15.04.2026 23:27:49 192.168.2.1 Returned 304 in 1 ms
 HTTP  15.04.2026 23:27:49 192.168.2.1 Returned 304 in 1 ms
 HTTP  15.04.2026 23:30:05 192.168.2.1 GET /
 HTTP  15.04.2026 23:30:05 192.168.2.1 Returned 304 in 1 ms
 HTTP  15.04.2026 23:30:05 192.168.2.1 GET /assets/index-CtULI2Tr.js
 HTTP  15.04.2026 23:30:05 192.168.2.1 GET /assets/index-Dayb22TA.css
 HTTP  15.04.2026 23:30:05 192.168.2.1 Returned 304 in 1 ms
 HTTP  15.04.2026 23:30:05 192.168.2.1 Returned 304 in 1 ms
 HTTP  15.04.2026 23:30:06 192.168.2.1 GET /
 HTTP  15.04.2026 23:30:06 192.168.2.1 Returned 304 in 1 ms
 HTTP  15.04.2026 23:30:07 192.168.2.1 GET /assets/index-Dayb22TA.css
 HTTP  15.04.2026 23:30:07 192.168.2.1 GET /assets/index-CtULI2Tr.js
 HTTP  15.04.2026 23:30:07 192.168.2.1 Returned 304 in 1 ms
 HTTP  15.04.2026 23:30:07 192.168.2.1 Returned 304 in 1 ms
 HTTP  15.04.2026 23:30:13 192.168.2.1 GET /
 HTTP  15.04.2026 23:30:13 192.168.2.1 Returned 304 in 1 ms
 HTTP  15.04.2026 23:30:13 192.168.2.1 GET /assets/index-CtULI2Tr.js
 HTTP  15.04.2026 23:30:13 192.168.2.1 GET /assets/index-Dayb22TA.css
 HTTP  15.04.2026 23:30:13 192.168.2.1 Returned 304 in 1 ms
 HTTP  15.04.2026 23:30:13 192.168.2.1 Returned 304 in 1 ms
 HTTP  15.04.2026 23:30:30 192.168.2.1 GET /
 HTTP  15.04.2026 23:30:30 192.168.2.1 Returned 304 in 1 ms
 HTTP  15.04.2026 23:30:30 192.168.2.1 GET /assets/index-CtULI2Tr.js
 HTTP  15.04.2026 23:30:30 192.168.2.1 GET /assets/index-Dayb22TA.css
 HTTP  15.04.2026 23:30:30 192.168.2.1 Returned 304 in 1 ms
 HTTP  15.04.2026 23:30:30 192.168.2.1 Returned 304 in 1 ms
 HTTP  15.04.2026 23:30:40 192.168.2.1 GET /
 HTTP  15.04.2026 23:30:40 192.168.2.1 Returned 304 in 0 ms
 HTTP  15.04.2026 23:30:40 192.168.2.1 GET /assets/index-CtULI2Tr.js
 HTTP  15.04.2026 23:30:40 192.168.2.1 GET /assets/index-Dayb22TA.css
 HTTP  15.04.2026 23:30:40 192.168.2.1 Returned 304 in 1 ms
 HTTP  15.04.2026 23:30:40 192.168.2.1 Returned 304 in 1 ms
